key,Bulk_id,symbol,Surface,in_domain,Bulk_concentration,surface_concentration,Crystal System,Point Group,EqV2_predicted_H_ads_E,single_point_DFT_H_ads_E
mp-13138_H_2_211,mp-13138,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 69.23076923076923, 'Sn': 30.76923076923077}",Hexagonal,P63mmc,-0.296630859375,-0.28435467
mp-581786_H_2_211,mp-581786,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 71.42857142857143, 'Sn': 28.57142857142857}",Orthorhombic,Pmmn,-0.14599609375,-0.1427801
mp-1221744_H_4_211,mp-1221744,Mn7Sb4,211,False,"{'Mn': 63.63636363636363, 'Sb': 36.36363636363637}","{'Mn': 63.1578947368421, 'Sb': 36.84210526315789}",Hexagonal,P6m2,-0.1494140625,-1.10375049
mp-20714_H_4_211,mp-20714,Fe2Sb4,211,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.29736328125,-0.2066801
mp-22752_H_0_211,mp-22752,Fe2Sn4,211,False,"{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sn': 66.66666666666666}",Tetragonal,I4mcm,-0.26708984375,-0.26910282
mp-19856_H_1_211,mp-19856,Sn2Pt2,211,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 30.0, 'Sn': 70.0}",Hexagonal,P63mmc,-0.358154296875,-0.36663865
mp-1187108_H_2_211,mp-1187108,Sn6Ru2,211,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}",Hexagonal,P63mmc,-0.13916015625,-0.37302199
mp-1187108_H_5_211,mp-1187108,Sn6Ru2,211,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 16.666666666666664, 'Sn': 83.33333333333334}",Hexagonal,P63mmc,-0.1015625,0.07565706
mp-20714_H_2_211,mp-20714,Fe2Sb4,211,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.22802734375,-0.92936621
mp-973354_H_3_211,mp-973354,SbPt3,211,False,"{'Pt': 75.0, 'Sb': 25.0}","{'Pt': 83.33333333333334, 'Sb': 16.666666666666664}",Tetragonal,I4mmm,-0.39599609375,-0.38091967
mp-1184775_H_2_211,mp-1184775,Fe2Sn6,211,False,"{'Fe': 25.0, 'Sn': 75.0}","{'Fe': 16.666666666666664, 'Sn': 83.33333333333334}",Hexagonal,P63mmc,-0.11279296875,0.09349995
mp-1187108_H_4_211,mp-1187108,Sn6Ru2,211,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.20849609375,-0.23551996
mp-1187108_H_3_211,mp-1187108,Sn6Ru2,211,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.14599609375,-1.13601788
mp-19856_H_0_211,mp-19856,Sn2Pt2,211,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 40.0, 'Sn': 60.0}",Hexagonal,P63mmc,-0.35009765625,-0.31741601
mp-1009207_H_0_211,mp-1009207,MnSb,211,False,"{'Mn': 50.0, 'Sb': 50.0}","{'Mn': 50.0, 'Sb': 50.0}",Cubic,Pm3m,-0.17822265625,-0.17045374
mp-1186237_H_0_211,mp-1186237,Nb2Sn6,211,False,"{'Nb': 25.0, 'Sn': 75.0}","{'Nb': 16.666666666666664, 'Sn': 83.33333333333334}",Hexagonal,P63mmc,-0.1064453125,-0.12278273
mp-1187261_H_1_211,mp-1187261,Ta2Sn6,211,False,"{'Sn': 75.0, 'Ta': 25.0}","{'Sn': 83.33333333333334, 'Ta': 16.666666666666664}",Hexagonal,P63mmc,-0.15576171875,-0.05448351
